SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC)
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:39.536
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:40.544
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:42.120
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:43.154
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:44.940
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:45.952
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:47.255
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-54,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:48.271
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-53,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:49.890
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-53,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:51.362
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-53,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:53.191
